Month,Cluster,Tally,Percentage_of_Cluster_Total
25,11,2,33.3333333333333
25,12,0,0
26,1,1,25
26,2,12,100
26,3,4,100
26,4,8,100
26,5,6,100
26,6,5,100
26,7,8,100
26,8,1,100
26,9,4,100
26,10,6,100
26,11,2,33.3333333333333
26,12,0,0
27,1,1,25
27,2,12,100
27,3,4,100
27,4,8,100
27,5,6,100
27,6,5,100
27,7,8,100
27,8,1,100
27,9,4,100
27,10,6,100
27,11,2,33.3333333333333
27,12,0,0
28,1,2,50
28,2,12,100
28,3,4,100
28,4,8,100
28,5,6,100
28,6,5,100
28,7,8,100
28,8,1,100
28,9,4,100
28,10,6,100
28,11,2,33.3333333333333
28,12,1,11.1111111111111
29,1,2,50
29,2,12,100
29,3,4,100
29,4,8,100
29,5,6,100
29,6,5,100
29,7,8,100
29,8,1,100
29,9,4,100
29,10,6,100
29,11,2,33.3333333333333
29,12,3,33.3333333333333
30,1,4,100
30,2,12,100
30,3,4,100
30,4,8,100
30,5,6,100
30,6,5,100
30,7,8,100
30,8,1,100
30,9,4,100
30,10,6,100
30,11,4,66.6666666666667
30,12,3,33.3333333333333
31,1,4,100
31,2,12,100
31,3,4,100
31,4,8,100
31,5,6,100
31,6,5,100
31,7,8,100
31,8,1,100
31,9,4,100
31,10,6,100
31,11,4,66.6666666666667
31,12,5,55.5555555555556
32,1,4,100
32,2,12,100
32,3,4,100
32,4,8,100
32,5,6,100
32,6,5,100
32,7,8,100
32,8,1,100
32,9,4,100
32,10,6,100
32,11,4,66.6666666666667
32,12,5,55.5555555555556
33,1,4,100
33,2,12,100
33,3,4,100
33,4,8,100
33,5,6,100
33,6,5,100
33,7,8,100
33,8,1,100
33,9,4,100
33,10,6,100
33,11,6,100
33,12,5,55.5555555555556
34,1,4,100
34,2,12,100
34,3,4,100
34,4,8,100
34,5,6,100
34,6,5,100
34,7,8,100
34,8,1,100
34,9,4,100
34,10,6,100
34,11,6,100
34,12,5,55.5555555555556
35,1,4,100
35,2,12,100
35,3,4,100
35,4,8,100
35,5,6,100
35,6,5,100
35,7,8,100
35,8,1,100
35,9,4,100
35,10,6,100
35,11,6,100
35,12,5,55.5555555555556
36,1,4,100
36,2,12,100
36,3,4,100
36,4,8,100
36,5,6,100
36,6,5,100
36,7,8,100
36,8,1,100
36,9,4,100
36,10,6,100
36,11,6,100
36,12,5,55.5555555555556
37,1,4,100
37,2,12,100
37,3,4,100
37,4,8,100
37,5,6,100
37,6,5,100
37,7,8,100
37,8,1,100
37,9,4,100
37,10,6,100
37,11,6,100
37,12,9,100
